Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2895045,NA,/companies/2895045-leggo-kitchens?searched_category_id=392&service_area=2117829,"We are a custom Kitchen and Bath design & install company with 30 years experience in the cabinet industry. With numerous projects behind us. We have numerous customer reviews. It's not just your kitchen, it's our promise.",leggo-kitchens,2017-03-14T15:41:25.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1957469,Leggo Kitchens,2,2,0,10,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,0,FALSE,82842094f243f965a205470a58ff6419f8950d0c,TRUE,2021-01-31T17:02:36.000-05:00,TRUE,FALSE,2117829,84.5633977468,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2880601,NA,/companies/2880601-misty-s-kitchens?searched_category_id=392&service_area=2070730,"Deciding to build a new kitchen can be exciting, but also very confusing!
 
So many options and so many decisions to be made.  And there are so many providers of kitchens and cabinets with such varying standards.
  
You need someone who can spend as much time with you as it takes to get it right. Contact Misty's Kitchens today!",misty-s-kitchens,2015-12-06T23:13:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1943025,Misty's Kitchens,5,5,0,10,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",1,FALSE,0,0,0,0,FALSE,ad0ca6962c20e0e5c4e26b93bad4b95b7f4804f1,TRUE,2016-10-21T09:23:15.000-04:00,TRUE,FALSE,2070730,76.9869616215,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2907079,http://bellcitycarpetonebrantford.com,/companies/2907079-bell-city-carpet-one?searched_category_id=392&service_area=2144287,"Flooring sales & installation, Kitchen & bath design, sales and installation",bell-city-carpet-one,2018-01-09T14:39:55.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1969264,Bell City Carpet One,0,0,1,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,2,0,FALSE,3d3b958c332e2beaa16b5c2c1b6d49c4a21cb716,FALSE,NA,FALSE,FALSE,2144287,0,392,NA,NA,2018-01-09T14:40:29.000-05:00
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2774075,,/companies/2774075-pamela-devries-design?searched_category_id=392&service_area=1787279,"Interior Decorating services include:Residential or Commercial decorating. Colour consults, Custom Drapery & window covering, flooring, lighting, home staging, furniture selections/re-upholstry, new home interior selections. ",pamela-devries-design,2009-02-18T14:36:46.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1837127,Pamela deVries Designs,0,0,0,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,NA,FALSE,41fced9e85ee4e70a071404c50f4b28a5da0d0d0,FALSE,NA,TRUE,FALSE,1787279,0,392,NA,NA,2009-02-18T14:36:43.000-05:00
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2678414,NA,/companies/2678414-home-building-centre?searched_category_id=392&service_area=1691618,NA,home-building-centre,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1741466,Home Building Centre,1,1,0,8,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,2013-07-29T11:15:02.000-04:00,FALSE,FALSE,1691618,31.3152146027,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2690756,NA,/companies/2690756-sanderson-harold-company-limitedfactory-outlet?searched_category_id=392&service_area=1703960,NA,sanderson-harold-company-limitedfactory-outlet,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1753808,Sanderson-Harold Company LimitedFactory Outlet,0,0,0,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1703960,0,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2865486,NA,/companies/2865486-grand-kitchens-and-design?searched_category_id=392&service_area=2012523,NA,grand-kitchens-and-design,2015-01-27T18:03:07.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1927912,Grand Kitchens and Design,1,0,0,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,2012523,0,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2898105,NA,/companies/2898105-guru-kitchen-and-bath-dezine?searched_category_id=392&service_area=2125409,NA,guru-kitchen-and-bath-dezine,2017-06-13T04:30:24.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1960529,Guru Kitchen and Bath Dezine,0,0,0,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,2125409,-1.0,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2593141,NA,/companies/2593141-kitchens-inc-everything-including-the?searched_category_id=392&service_area=1606345,NA,kitchens-inc-everything-including-the,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1656193,Kitchens Inc Everything Including The,0,0,0,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1606345,0,392,NA,NA,NA
https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design,12,https://homestars.com/on/cross-city/kitchen-bathroom-cabinets-design?&page=2&,Kitchen & Bathroom - Cabinets & Design,2679933,NA,/companies/2679933-j-k-home-building-centre?searched_category_id=392&service_area=1693137,NA,j-k-home-building-centre,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1742985,J & K Home Building Centre,0,0,0,NA,"Kitchen & Bathroom - Cabinets & Design, Kitchen Cabinet And Counter, Kitchen Cabinet Hardware, Bathroom Cabinet, Bathroom Wall Cabinet, Bathroom Sink Cabinet, cabinets, kitchens, cabinetry, kitchen and cabinets, cabinets for kitchen, about kitchen cabinets, kitchen cabinets, kitchen cabinets in, cabinets for the kitchen, cabinets and kitchen, cabinets kitchen, kitchen cabinet, cabinet kitchen, the kitchen cabinet, kitchen by design, design kitchen, a kitchen design, design a kitchen, design for kitchen, design and kitchen, design by kitchen, kitchen design, cabinetry kitchen, kitchen cabinetry, designs kitchen, kitchen designs, bathroom vanities, vanity and bathroom, bath and vanity, designer kitchen, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,1693137,0,392,NA,NA,NA
