Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache,subdomain,latest_approved_review_created_at
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2568522,NA,/companies/2568522-steam-canada-cleaning-inc?searched_category_id=324&service_area=1581726,"Head Office located in London Ontario, Steam Canada is one of the largest and highly recommended firms. We are proud of serving the cleaning needs of London and area for over 40 years. Call 519-659-4444 to get a Free Quote or 24hr Emergency Service For any cleaning need you may have and you can expect prompt, courteous service; including emergency flood clean up.

We guarantee our workmanship 100%
Any time you call, no matter the time of day, you will get a member of our knowledgeable staff to help you. We do not use answering machines or services. You always reach someone who is trained to answer your questions and to help you in any way they are able. We strive for excellence both in the service we give and the quality of workmanship we provide…Every customer is important to us.",steam-canada-cleaning-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631574,Steam Canada,5,4,0,10,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2017-02-20T13:37:31.000-05:00,FALSE,0,0,0,FALSE,b03a13d0cd93dff68032f8af25f4dd0d50e77f7a,TRUE,TRUE,FALSE,1581726,57.3444752355,324,NA,NA,NA,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2885593,http://www.callsteamersfirst.com,/companies/2885593-steamers?searched_category_id=324&service_area=2089350,"Founded in 2004, Steamers has become London's first choice for carpet, upholstery and area rug cleaning.   From the largest job to the smallest, Steamers has the solution to meet your steam cleaning needs and budget.  With a proven track record of success and high level of customer satisfaction you can count on the team at Steamers to get the job done right!",steamers,2016-03-22T16:59:00.000-04:00,NA,NA,NA,,"Carpet and Rug Cleaning 
Outside of home area rug cleaning 
Upholstery Cleaning ",,,2004,12,"Visa, Debit, MC, Cheque, Cash",,Certified Carpet and Rug Cleaners,"IICRC, BBB, LEA ",TRUE,TRUE,,,TRUE,FALSE,,1948017,Steamers,10,8,36,9.75,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2017-10-14T22:30:02.000-04:00,FALSE,0,0,23,FALSE,897060cc8296fe609c67cb92cd8ed6bfcbbc448e,TRUE,TRUE,FALSE,2089350,70.9390991482,324,NA,NA,0,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2576435,http://beesoclean.homestars.com,/companies/2576435-bee-so-clean-ltd?searched_category_id=324&service_area=1589639,,bee-so-clean-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1639487,Bee So Clean Ltd,3,3,10,9.66667,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2016-03-12T11:52:32.000-05:00,FALSE,0,0,26,FALSE,3c6e73bdc1d459b1c857fa8eee807817b9ee9ff5,TRUE,FALSE,FALSE,1589639,51.1795308166,324,NA,NA,NA,beesoclean,2016-04-12T20:33:52.000-04:00
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2778732,http://sites.google.com/site/sofreshsite/,/companies/2778732-so-fresh-so-clean?searched_category_id=324&service_area=1831214,"So Fresh So Clean is a Rug Doctor based cleaning business.  We provide carpet shampooing and mobile car detailing services to residential and small business clients.  We pride ourselves on performing high quality services at an unbeatable price and achieving praise from our satisfied clients.  Other services available include the cleaning of rugs and furniture upholstery, mattresses, and cushions/decorative pillows.",so-fresh-so-clean,2010-03-19T12:33:46.000-04:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1841784,So Fresh So Clean,1,1,0,10,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2010-03-19T12:33:46.000-04:00,FALSE,0,0,0,FALSE,4bb8f0f52d179f5d08b4fa36041e4fb09892b50d,FALSE,FALSE,FALSE,1831214,20.7044386639,324,NA,NA,NA,NA,2010-05-18T21:44:07.000-04:00
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2902743,NA,/companies/2902743-dsh-cleaning-services?searched_category_id=324&service_area=2134949,NA,dsh-cleaning-services,2017-09-26T18:38:41.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1964928,Dsh Cleaning Services ,0,0,0,NA,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2017-09-26T19:17:49.000-04:00,FALSE,0,0,0,FALSE,789a859751a1bf88da7f61919770165087e26a7c,FALSE,FALSE,FALSE,2134949,-1.0,324,NA,NA,0,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2944107,NA,/companies/2944107-the-london-steam-carpet-air-duct-cleaning?searched_category_id=324&service_area=2226494,NA,the-london-steam-carpet-air-duct-cleaning,2020-06-01T11:08:29.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2006260,The London Steam Carpet & Air-Duct Cleaning,0,0,0,NA,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2020-06-01T11:10:22.000-04:00,FALSE,0,0,0,FALSE,79f29d1687c11a9c537dbceb5bed6afcfcdf0e0a,FALSE,FALSE,FALSE,2226494,-1.0,324,NA,NA,0,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2865945,NA,/companies/2865945-cleaners-bromley?searched_category_id=324&service_area=2014308,NA,cleaners-bromley,2015-02-09T05:01:52.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1928370,Cleaners Bromley,0,0,0,NA,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,NA,FALSE,0,0,0,FALSE,75e35ab44ea881bf5907ac9530e80e00a21f68cb,FALSE,FALSE,FALSE,2014308,-1.0,324,NA,NA,0,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2915885,http://www.metrolondoncarpetcleaning.ca,/companies/2915885-metro-london-carpet-cleaning?searched_category_id=324&service_area=2162840,"
At Metro London Carpet Cleaning, we offer Quality, Reliable and Professional service at an affordable price. All workmanship is guaranteed 100%. If you are not completely satisfied  , we will clean that area free of charge . With our powerful truckmounted cleaning system you get better cleaning with quicker drying times.  Having your carpets steam cleaned will not void new carpet warranty , it is recommended by the manufacturer that carpets be steam cleaned every 1-2 years . So for great service at an affordable price call Metro London Carpet Cleaning today. Great service , Best deal in Town!



20+ years serving London Ontario and surrounding area, Certified and Insured. Owner/Operated



We only use environmentally friendly quality cleaning products. From heavy duty commercial cleaning to residential cleaning, Call Metro London Carpet Cleaning today.


",metro-london-carpet-cleaning,2018-05-04T13:31:06.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1978069,Metro London Carpet Cleaning,0,0,2,NA,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2018-05-04T13:43:46.000-04:00,FALSE,0,0,3,FALSE,c1ab00addd68b78b3a6c92ad6f9827c6a039639b,FALSE,TRUE,FALSE,2162840,-1.0,324,NA,NA,0,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2919979,https://freshpluscarpetcare.com/,/companies/2919979-fresh-plus-carpet-care?searched_category_id=324&service_area=2171995,"We mainly provide professional cleaning services in Carpet, Upholstery, Tile & Hardwood floors in London, Ontario. For all our cleaning processes, we use state-of-the-art truck-mount unit that provides high pressure hot water penetration followed by strong suction system that extracts all dirt, food spills, bacteria, fungus, dust mites.",fresh-plus-carpet-care,2018-07-31T03:04:02.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1982160,Fresh Plus Carpet Care,1,0,7,NA,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2018-09-20T03:14:46.000-04:00,FALSE,0,0,8,FALSE,48d62bd3580e66fd69e193efda45f68b9a2b44ed,FALSE,FALSE,FALSE,2171995,-1.0,324,NA,NA,0,NA,NA
https://homestars.com/on/southwold/carpet-rug-cleaning-repairing,40,"c(""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=2&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=3&"", ""https://homestars.com/on/southwold/carpet-rug-cleaning-repairing?&page=4&"")",Carpet & Rug Cleaning & Repairing,2670216,NA,/companies/2670216-midway-carpet-care?searched_category_id=324&service_area=1683420,NA,midway-carpet-care,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1733268,Midway Carpet Care,0,0,0,NA,"Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2016-03-22T20:12:23.000-04:00,FALSE,0,0,0,FALSE,ca58381cbd0530c56f011d47756bd8d92c3a22cc,FALSE,FALSE,FALSE,1683420,-1.0,324,NA,NA,NA,NA,NA
