Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,latest_approved_review_created_at,subdomain
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2879332,NA,/companies/2879332-alair-homes-london?searched_category_id=321&service_area=2065280,,alair-homes-london,2015-11-14T19:04:03.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1941756,Alair Homes London,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,0,FALSE,43c70b1bc601f559679bce53100fe3bd6d7baeb1,FALSE,FALSE,FALSE,2065280,71.0851648352,321,NA,NA,NA,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2772825,http://www.masonridgeconstruction.com,/companies/2772825-masonridge-construction?searched_category_id=321&service_area=1786029,"Please view our webpage for more detailed information on us.
We are a General Construction Company providing commercial & residential customers design and build, interior, exterior, masonry & complete project building options.",masonridge-construction,2008-06-03T19:44:38.000-04:00,NA,NA,Mon-Fri 8:00a.m - 7:00 p.m Sat. Bookings Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1835877,Masonridge Construction,7,3,0,6.66667,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,53476d305633140fc106c882c17c2c1287eee0da,FALSE,FALSE,FALSE,1786029,38.5871278757,321,NA,NA,2008-06-29T20:37:49.000-04:00,2010-01-03T12:47:02.000-05:00,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2970192,NA,/companies/2970192-henry-duthler?searched_category_id=321&service_area=2285039,NA,henry-duthler,2022-07-05T10:09:47.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2032103,Henry Duthler,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,0,FALSE,b828d5bbb06fd771431a7752ae0988b423e528a5,FALSE,TRUE,FALSE,2285039,-1.0,321,NA,NA,2022-07-05T10:09:57.000-04:00,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2683669,NA,/companies/2683669-mcr-homes-inc?searched_category_id=321&service_area=1696873,NA,mcr-homes-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1746721,Mcr Homes Inc,5,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,4b18b55da7071583da59e5bc84cf8fee974bbe88,FALSE,FALSE,FALSE,1696873,0.0,321,NA,NA,2012-01-05T23:51:35.000-05:00,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2804646,NA,/companies/2804646-pat-hazzard-homes?searched_category_id=321&service_area=1871243,NA,pat-hazzard-homes,2013-01-08T14:49:40.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1867646,Pat Hazzard Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,84f8ec97c514548de8b078f4f82ab0e40b9c0832,FALSE,FALSE,FALSE,1871243,-1.0,321,NA,NA,2013-01-08T14:49:41.000-05:00,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2695667,,/companies/2695667-willow-bridge-homes-ltd?searched_category_id=321&service_area=1708871,Home builder.,willow-bridge-homes-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1758719,Willow Bridge Homes Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,d3389634d3539cfc917c2ce99537c050a8a28ff3,FALSE,TRUE,FALSE,1708871,-1.0,321,NA,NA,2009-12-30T21:09:20.000-05:00,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2866572,http://www.alairhomes.ca/london/,/companies/2866572-alair-homes?searched_category_id=321&service_area=2016468,"Whether it is a starter home or a multi-million dollar showpiece, Alair has perfected the custom home building process. Every detail is controlled by our clients through our proprietary online systems with incredible precision. We build on time and on budget. Before you start your custom home you owe it to yourself to have a look at the Alair custom home process to learn how you can have exactly what you want for far less than you imagined.
",alair-homes,2015-02-22T15:33:43.000-05:00,NA,,,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1928997,Alair Homes,0,0,2,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,1,0,FALSE,c6e6f92811b64aefa14dfeed960715bc1cb3d4cc,FALSE,FALSE,FALSE,2016468,-1.0,321,NA,NA,NA,NA,alairlondon
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2915009,NA,/companies/2915009-nbc-concrete?searched_category_id=321&service_area=2160989,NA,nbc-concrete,2018-04-21T18:36:36.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1977193,NBC Concrete ,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,0,FALSE,b68a03010463264614a9e1ac9e2a7918359549ee,FALSE,FALSE,FALSE,2160989,-1.0,321,NA,NA,2021-02-10T14:04:15.000-05:00,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2733372,NA,/companies/2733372-graystone-development-group-limited?searched_category_id=321&service_area=1746576,"Graystone Development Group is focused on luxury detached condominiums in prime locations in London, Ontario. With many years of experience, the Graystone team creates prestigious condominium communities and detached homes exhibiting high quality materials and craftsmanship.",graystone-development-group-limited,2008-03-04T16:55:15.000-05:00,NA,NA,8:30 - 4:30 Monday - Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1796424,Graystone Development Group Limited,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,f09f67dde009d63a1bcf1d4a66a79cb11b2a1491,FALSE,TRUE,FALSE,1746576,-1.0,321,NA,NA,2014-10-08T15:22:09.000-04:00,NA,NA
https://homestars.com/on/forest-city/builders,115,"c(""https://homestars.com/on/forest-city/builders?&page=2&"", ""https://homestars.com/on/forest-city/builders?&page=3&"", ""https://homestars.com/on/forest-city/builders?&page=4&"", ""https://homestars.com/on/forest-city/builders?&page=5&"", ""https://homestars.com/on/forest-city/builders?&page=6&"", ""https://homestars.com/on/forest-city/builders?&page=7&"", ""https://homestars.com/on/forest-city/builders?&page=8&"", ""https://homestars.com/on/forest-city/builders?&page=9&"", ""https://homestars.com/on/forest-city/builders?&page=10&"", 
""https://homestars.com/on/forest-city/builders?&page=11&"", ""https://homestars.com/on/forest-city/builders?&page=12&"")",Builders,2855939,NA,/companies/2855939-artisan-homes?searched_category_id=321&service_area=1979763,NA,artisan-homes,2014-07-02T08:12:32.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1918369,Artisan Homes,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,0,FALSE,17a5b0591f8f688c24694b4aabcad1b05be8952b,FALSE,FALSE,FALSE,1979763,-1.0,321,NA,NA,NA,NA,NA
