Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2884321,NA,/companies/2884321-5-star-designs?searched_category_id=338&service_area=2084656,NA,5-star-designs,2016-02-21T21:57:34.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1946745,5 Star Designs,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,0,FALSE,0777c098d88b1327a53ab70a63f619f3ca757daf,FALSE,FALSE,FALSE,2084656,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2568799,NA,/companies/2568799-betschel-s-kitchen-centre-inc?searched_category_id=338&service_area=1582003,NA,betschel-s-kitchen-centre-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631851,Betschel's Kitchen Centre Inc,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1582003,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2597286,NA,/companies/2597286-europa-marble-granite?searched_category_id=338&service_area=1610490,NA,europa-marble-granite,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1660338,Europa Marble & Granite,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1610490,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2634718,NA,/companies/2634718-cunningham-sheet-metal-windsor-ltd?searched_category_id=338&service_area=1647922,NA,cunningham-sheet-metal-windsor-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1697770,Cunningham Sheet Metal (Windsor) Ltd,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1647922,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2568711,NA,/companies/2568711-naylor-s-kitchen-bath-centres?searched_category_id=338&service_area=1581915,NA,naylor-s-kitchen-bath-centres,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631763,Naylor's Kitchen & Bath Centres,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1581915,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2592472,NA,/companies/2592472-superior-cabinets-hardware?searched_category_id=338&service_area=1605676,NA,superior-cabinets-hardware,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1655524,Superior Cabinets & Hardware,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1605676,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2636807,NA,/companies/2636807-dimanti-stone-works?searched_category_id=338&service_area=1650011,NA,dimanti-stone-works,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1699859,Dimanti Stone Works,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1650011,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2618890,NA,/companies/2618890-granite-transformations-of-windsor?searched_category_id=338&service_area=1632094,NA,granite-transformations-of-windsor,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1681942,Granite Transformations Of Windsor,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1632094,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2582784,NA,/companies/2582784-kitchen-saver?searched_category_id=338&service_area=1595988,NA,kitchen-saver,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1645836,Kitchen Saver,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1595988,-1.0,338,NA,NA
https://homestars.com/on/essex-county/countertops,12,https://homestars.com/on/essex-county/countertops?&page=2&,Countertops,2604738,NA,/companies/2604738-joe-s-woodcraft-of-windsor-ltd?searched_category_id=338&service_area=1617942,NA,joe-s-woodcraft-of-windsor-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1667790,Joe's Woodcraft Of Windsor Ltd,0,0,0,NA,"Countertops, Granite Counter Tops, Kitchen Counter Tops, Marble Counter Tops, Laminate Counter Top, Quartz Counter Top, Corian counter top, tile counter top, silestone counter tops, arborite counter tops, custom counter tops, kitchen, remodeling, kitchen cabinet, kitchen design, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1617942,-1.0,338,NA,NA
