Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at,completion_percent_cache
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2790195,NA,/companies/2790195-harold-goetz-tim-br-mart?searched_category_id=466&service_area=1849314,NA,harold-goetz-tim-br-mart,2011-08-24T13:37:12.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1853247,Harold & Goetz Tim Br Mart,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,c6cdc6c0e71a705cbe32125576b68fc5156b5a03,FALSE,FALSE,FALSE,1849314,-1.0,466,NA,NA,NA,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,210099,http://www.homedepot.ca,/companies/210099-home-depot?searched_category_id=466&service_area=1816969,"World's largest home improvement retailer, catering to both do-it-yourselfers and professionals.",home-depot,2006-05-05T20:00:00.000-04:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,64351,Home Depot,2,2,0,9.5,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1816969,47.8684904567,466,NA,NA,2011-09-29T18:18:35.000-04:00,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,310333,,/companies/310333-home-depot?searched_category_id=466&service_area=23075,NA,home-depot,2007-09-09T07:16:15.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,104629,Home Depot,8,5,0,8.8,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,23075,27.9145231051,466,NA,NA,2010-03-06T08:27:56.000-05:00,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2778444,,/companies/2778444-j-k-home-building-centre?searched_category_id=466&service_area=1830917,NA,j-k-home-building-centre,2010-03-07T08:31:17.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1841496,J & K Home Building Centre,1,1,0,10,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1830917,26.25,466,NA,NA,2010-03-07T08:35:37.000-05:00,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2778415,,/companies/2778415-habitat-for-humanity-restore?searched_category_id=466&service_area=1830888,NA,habitat-for-humanity-restore,2010-03-06T15:18:56.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1841467,habitat for humanity(restore),1,1,0,10,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1830888,51.9861624749,466,NA,NA,2010-03-06T15:24:25.000-05:00,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2902670,NA,/companies/2902670-lowes-brantford?searched_category_id=466&service_area=2134782,NA,lowes-brantford,2017-09-25T16:15:06.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1964855,Lowes (Brantford),1,1,0,6,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,2134782,31.7483516484,466,NA,NA,NA,0
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2626236,NA,/companies/2626236-feely-hardware-ltd?searched_category_id=466&service_area=1639440,NA,feely-hardware-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1689288,Feely Hardware Ltd,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1639440,-1.0,466,NA,NA,NA,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2691934,NA,/companies/2691934-west-brantford-home-hardware?searched_category_id=466&service_area=1705138,NA,west-brantford-home-hardware,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1754986,West Brantford Home Hardware,1,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1705138,-1.0,466,NA,NA,NA,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2637474,NA,/companies/2637474-home-hardware-stores?searched_category_id=466&service_area=1650678,NA,home-hardware-stores,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1700526,Home Hardware Stores,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1650678,-1.0,466,NA,NA,NA,NA
https://homestars.com/on/brantford/building-supplies-and-hardware,17,https://homestars.com/on/brantford/building-supplies-and-hardware?&page=2&,Building Supplies and Hardware,2623841,NA,/companies/2623841-dimensions-hardware-inc?searched_category_id=466&service_area=1637045,NA,dimensions-hardware-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1686893,Dimensions Hardware Inc,0,0,0,NA,"Building Supplies and Hardware, Hardware Tool, Cabinet Hardware, Hardware Store, Computer Hardware, Antique Hardware, lumber, roofing material, tools, materials, supplies, shingles, building supplies, building supply stores, building supplies stores,  hardware, home building supplies, wholesale building supplies, contractors building supplies, surplus building supplies, salvage building supplies, lumber stores, wood building supplies, hardware supplies, building supplies wholesale, lumber yard supply, house building supplies, apartment building supplies, builders supplies, building hardware, ,Stanby power generator, standby power generator, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1637045,-1.0,466,NA,NA,NA,NA
