Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,subdomain,completion_percent_cache
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,230889,https://sheldonhomes.com,/companies/230889-sheldon-homes-inc?searched_category_id=321&service_area=1808164,NA,sheldon-homes-inc,2008-01-23T10:38:34.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,80973,Sheldon Homes Inc,4,4,0,9,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2017-11-13T15:32:26.000-05:00,FALSE,0,0,0,FALSE,d2f9658d1cf49c75813b84b46ddbc6e890660870,TRUE,2011-06-07T19:10:35.000-04:00,TRUE,FALSE,1808164,78.1954306614,321,NA,NA,NA,NA
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2907686,http://www.benchwoodbuilders.com,/companies/2907686-benchwood-builders?searched_category_id=321&service_area=2145570,"Benchwood Builders are new home builders and renovators who specialize in major renovations such as additions, second story additions, cathedral and monolithic great rooms, house raising and basement walk-outs and we are members of the Niagara Home Builders Association. At Benchwood Builders we give our customers one on one personal attention from start to finish. Our in house architect, engineer, designers and skilled trades are all here to help make your design dreams become a reality. ",benchwood-builders,2018-01-20T20:56:45.000-05:00,NA,NA,NA,,"New Home Building
Major Renovations
Great rooms
Kitchen Renovations
Bathroom Renovations
Home Additions
House Raising

ALL your renovation needs done with quality and care. ",,Major Renovations,NA,NA,Cheque and e-transfer,Red Seal Journeyman Carpenter Owner,All electrical and plumbing licences held in good standard and are insured.,,TRUE,FALSE,,,TRUE,FALSE,Yes. Kindly ask for details. Depends on project completed. ,1969871,Benchwood Builders,19,12,107,9.16667,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2018-01-20T20:57:58.000-05:00,FALSE,0,0,78,FALSE,bc020ec4a39efa9253adb4766fd385e9e39f54ac,TRUE,NA,TRUE,FALSE,2145570,81.8774061101,321,NA,NA,benchwood,0
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2667069,NA,/companies/2667069-nauta-home-designs?searched_category_id=321&service_area=1680273,"We are talented and experienced Licensed Home Designers, Architectural Technologists, CAD Operators, and Artists with over 19 years experience.
Our extensive education and knowledge covers many aspects of building design such as Architectural, Structural Engineering, Civil, Mechanical, Electrical, Interior Design, Building Sciences, Green Design, Building Codes and Surveying.
Our knowledge and understanding of building codes and building structures assures that not only are the blueprints accurately designed and complete, but that they are accepted and approved by Building Departments.
Nauta Home Designs employs college graduates in Architectural Technology to ensure beautiful well thought out designs, accurate blueprints and building code compliance.",nauta-home-designs,2008-03-04T16:55:15.000-05:00,NA,NA,Monday - Friday 9am-5pm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1730121,Nauta Home Designs,5,3,0,3.66667,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2013-12-06T12:32:34.000-05:00,FALSE,0,0,0,FALSE,b1e2340758b6c0cb5161c8b0bcfb487c121c4cb7,FALSE,2013-02-14T08:44:09.000-05:00,FALSE,FALSE,1680273,35.7313428264,321,NA,NA,NA,NA
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2932856,http://www.niagarahomerenovation.ca/,/companies/2932856-niagara-home-renos?searched_category_id=321&service_area=2201177,"Here at Niagara Home Renovations we help home owners turn their house into their dream home! Whether you are looking to renovate and refinish your basement or build a custom kitchen or renovate your bathroom, give us a call! No project is too big and no job is too small! for Niagara Home Renovation.",niagara-home-renos,2019-07-07T22:18:25.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1995030,Niagara Home Renos,0,0,3,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2019-07-07T22:18:37.000-04:00,FALSE,0,0,7,FALSE,f28cc84f9b211699c1e77ae95c7d147cd780128a,FALSE,NA,TRUE,FALSE,2201177,-1.0,321,NA,NA,NA,0
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2967777,,/companies/2967777-eddy?searched_category_id=321&service_area=2279294,This profile deleted by the poster,eddy,2022-05-02T10:29:01.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2029695,Eddy,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2022-05-02T10:30:49.000-04:00,FALSE,0,0,0,FALSE,95dd7f62c046b1f2333674387161ad02e0efbf0e,FALSE,NA,TRUE,FALSE,2279294,-1.0,321,NA,NA,,0
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2965458,NA,/companies/2965458-nextgenpainting?searched_category_id=321&service_area=2274071,NA,nextgenpainting,2022-03-03T19:10:50.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2027388,NextGenPainting,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2022-03-03T19:18:03.000-05:00,FALSE,0,0,0,FALSE,05112466c216dcd77d7e479c77faada8c6a37237,FALSE,NA,FALSE,FALSE,2274071,-1.0,321,NA,NA,NA,0
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2751873,http://www.sch-services.ca,/companies/2751873-stewart-cistern-services?searched_category_id=321&service_area=1765077,"Cistern cleaning, repairs & maintenance ",stewart-cistern-services,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1814925,Stewart Cistern Services,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2018-06-08T16:31:52.000-04:00,FALSE,0,0,1,FALSE,be4aed8b2eb95287640cbfaf963f63f09e13e8b0,FALSE,NA,FALSE,FALSE,1765077,-1.0,321,NA,NA,NA,NA
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2964839,NA,/companies/2964839-construction-contractor?searched_category_id=321&service_area=2272670,NA,construction-contractor,2022-02-16T20:26:27.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2026769,Construction contractor ,0,0,5,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,2022-02-16T20:28:00.000-05:00,FALSE,0,0,6,FALSE,48beae2ff06168c33fc9d33dec53b175b814c3f4,FALSE,NA,FALSE,FALSE,2272670,-1.0,321,NA,NA,NA,0
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,228895,NA,/companies/228895-versluis-bros-contractors-inc?searched_category_id=321&service_area=1808319,NA,versluis-bros-contractors-inc,2008-01-23T10:37:38.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,79385,Versluis Bros Contractors Inc,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2018-04-10T11:50:08.000-04:00,FALSE,FALSE,1808319,79.3302476569,321,NA,NA,NA,NA
https://homestars.com/on/catherines/builders,77,"c(""https://homestars.com/on/catherines/builders?&page=2&"", ""https://homestars.com/on/catherines/builders?&page=3&"", ""https://homestars.com/on/catherines/builders?&page=4&"", ""https://homestars.com/on/catherines/builders?&page=5&"", ""https://homestars.com/on/catherines/builders?&page=6&"", ""https://homestars.com/on/catherines/builders?&page=7&"", ""https://homestars.com/on/catherines/builders?&page=8&"")",Builders,2903372,NA,/companies/2903372-t-daniil-s-contracting-ltd?searched_category_id=321&service_area=2136257,NA,t-daniil-s-contracting-ltd,2017-10-11T11:28:04.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1965557,T-Daniil's Contracting Ltd,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,2136257,74.7668350931,321,NA,NA,NA,0
