Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,subdomain
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,212251,NA,/companies/212251-jp-furnishing-interiors?searched_category_id=364&service_area=1808293,J.P Furnishings & Interiors is a family based company which was established in 1989. We offer the best selection of modern and contemporary furniture at a fair price. We value our customers and provide the best customer service available!,jp-furnishing-interiors,2008-01-23T10:30:04.000-05:00,NA,,"Monday-Wednesday 10:00AM-6:00PM, Thursday & Friday 10:00AM-9:00PM, Saturday",NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,66106,Jp Furnishing & Interiors,2,2,0,10,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2011-10-28T14:41:43.000-04:00,FALSE,0,0,0,FALSE,a697fc5e89289de3821a9d2601b8b1f3fa490c3d,FALSE,2008-12-26T17:45:05.000-05:00,FALSE,FALSE,1808293,51.1442095569,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,2778294,,/companies/2778294-flamborough-patio-furniture?searched_category_id=364&service_area=1830767,NA,flamborough-patio-furniture,2010-03-03T11:41:27.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1841346,Flamborough Patio Furniture,7,5,0,6,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2016-05-03T08:22:16.000-04:00,FALSE,0,0,0,FALSE,27a551e43030d715f3599520187aa717292d4046,TRUE,2016-04-20T12:40:43.000-04:00,FALSE,FALSE,1830767,33.9526970678,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,2797715,http://www.urbanbarn.com/stoney-creek,/companies/2797715-urban-barn-stoney-creek?searched_category_id=364&service_area=1861009,"At Urban barn design and comfort live in perfect harmony.  We have furniture and accents to bring sophistication and comfort to every room of your home. Our knowledgeable staff provide pressure-free, approachable service. If you love your home, you'll love our stores...it's a given.",urban-barn-stoney-creek,2012-05-02T12:29:48.000-04:00,NA,,Mon-Fri: 10am -9pm Saturday: 10am-6pm and Sunday 11am-6pm,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1860767,Urban Barn   Stoney Creek,9,9,8,8.44444,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2012-05-02T14:57:07.000-04:00,FALSE,0,0,8,FALSE,dcfbbcc28b66f234ad015034bc47c30aaf7607b5,TRUE,2013-02-25T15:41:14.000-05:00,FALSE,FALSE,1861009,64.9256246063,364,NA,NA,ubstoneycreek
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,315652,,/companies/315652-norwalk-the-furniture-idea?searched_category_id=364&service_area=1827756,NA,norwalk-the-furniture-idea,2007-10-01T20:00:00.000-04:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,109950,Norwalk The Furniture Idea,4,2,0,5.125,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2007-10-01T20:00:00.000-04:00,FALSE,0,0,0,FALSE,1abf191614829edb356bd05d292f1f59f80d45e7,TRUE,2008-04-05T08:59:46.000-04:00,FALSE,FALSE,1827756,0.0,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,213878,NA,/companies/213878-leather-sofa-gallery?searched_category_id=364&service_area=1808304,NA,leather-sofa-gallery,2008-01-23T10:30:52.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,67377,Leather Sofa Gallery,9,7,0,7.85714,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1808304,72.6166496146,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,196599,NA,/companies/196599-b-j-s-furniture-warehouse?searched_category_id=364&service_area=1808723,NA,b-j-s-furniture-warehouse,2008-01-23T10:22:49.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,53488,B J's Furniture Warehouse,2,2,0,8,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2012-11-25T09:14:17.000-05:00,FALSE,FALSE,1808723,23.6901098901,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,2785763,NA,/companies/2785763-bj-s-furniture-warehouse?searched_category_id=364&service_area=1842731,NA,bj-s-furniture-warehouse,2011-03-18T17:54:46.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1848815,BJ's Furniture Warehouse,2,1,0,10,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2011-03-18T18:01:45.000-04:00,FALSE,FALSE,1842731,57.3574631685,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,196084,NA,/companies/196084-ashley-furniture-homestore?searched_category_id=364&service_area=1808274,NA,ashley-furniture-homestore,2008-01-23T10:22:35.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,53056,Ashley Furniture Homestore,14,9,0,2.11111,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2020-11-09T12:24:56.000-05:00,FALSE,FALSE,1808274,20.7904206102,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,2697188,NA,/companies/2697188-sofa-999-hamilton-inc?searched_category_id=364&service_area=1710392,NA,sofa-999-hamilton-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1760240,Sofa 999 Hamilton Inc,0,0,0,NA,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1710392,-1.0,364,NA,NA,NA
https://homestars.com/on/flamborough/furniture,25,"c(""https://homestars.com/on/flamborough/furniture?&page=2&"", ""https://homestars.com/on/flamborough/furniture?&page=3&"")",Furniture,197240,NA,/companies/197240-bedroom-gallery-the?searched_category_id=364&service_area=1808312,NA,bedroom-gallery-the,2008-01-23T10:23:06.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,53999,Bedroom Gallery The,0,0,0,NA,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1808312,-1.0,364,NA,NA,NA
