Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,lead_purchase_eligible
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2976266,NA,/companies/2976266-pristine-renovations-corporation?searched_category_id=442&service_area=2299408,NA,pristine-renovations-corporation,2022-11-22T21:16:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2038164,Pristine Renovations Corporation,0,0,13,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,2022-11-24T23:49:42.000-05:00,FALSE,0,0,14,0,FALSE,badee8a9502eb9baa80713a864b21baed8f59f0a,FALSE,FALSE,2299408,0,442,NA,NA,NA
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2923774,NA,/companies/2923774-cotton-tile-creations-ltd?searched_category_id=442&service_area=2180375,NA,cotton-tile-creations-ltd,2018-11-06T14:13:28.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1985948,Cotton Tile Creations Ltd,1,1,0,10,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,0,FALSE,NA,FALSE,FALSE,2180375,83.4395328565,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2626687,NA,/companies/2626687-lapointe-s-tile?searched_category_id=442&service_area=1639891,NA,lapointe-s-tile,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1689739,LaPointe's Tile,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1639891,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2625487,NA,/companies/2625487-kingston-tile-cement?searched_category_id=442&service_area=1638691,NA,kingston-tile-cement,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1688539,Kingston Tile & Cement,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1638691,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2627871,NA,/companies/2627871-maschi-ugo-tile-cement?searched_category_id=442&service_area=1641075,NA,maschi-ugo-tile-cement,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1690923,Maschi Ugo Tile & Cement,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1641075,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2672016,NA,/companies/2672016-carpet-masters-the?searched_category_id=442&service_area=1685220,NA,carpet-masters-the,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1735068,Carpet Masters The,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1685220,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2593604,NA,/companies/2593604-spada-tile?searched_category_id=442&service_area=1606808,NA,spada-tile,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1656656,Spada Tile,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1606808,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2591842,NA,/companies/2591842-eastern-ontario-terrazzo-tile-co-ltd?searched_category_id=442&service_area=1605046,NA,eastern-ontario-terrazzo-tile-co-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1654894,Eastern Ontario Terrazzo & Tile Co Ltd,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1605046,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2593479,NA,/companies/2593479-jc-2000-cement-tile-finisher?searched_category_id=442&service_area=1606683,NA,jc-2000-cement-tile-finisher,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1656531,JC 2000 Cement & Tile Finisher,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1606683,0,442,NA,NA,FALSE
https://homestars.com/on/pittsburgh/tile-stone-contractors,10,https://homestars.com/on/pittsburgh/tile-stone-contractors,Tile & Stone Contractors,2580129,NA,/companies/2580129-j-m-contractors?searched_category_id=442&service_area=1593333,NA,j-m-contractors,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1643181,J M Contractors,0,0,0,NA,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,",0,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,1593333,0,442,NA,NA,FALSE
