Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache,claimed_at
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2805626,NA,/companies/2805626-selbycampus-inc?searched_category_id=321&service_area=1872796,SELBY provides structures and technologies which offer a better management of natural resources in order to maximize energy efficiency. They make use of high-quality materials in designing its geothermal heating and air-conditioning system.,selbycampus-inc,2013-02-06T01:57:22.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868626,Selbycampus Inc.,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,bf5ea5f2b2e66ecc7b355f2309a00736cd307530,FALSE,FALSE,FALSE,1872796,0,321,NA,NA,NA,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2863959,NA,/companies/2863959-samcon?searched_category_id=321&service_area=2006413,NA,samcon,2014-12-19T11:16:26.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1926385,Samcon,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,d3f219f5e755042147f6dc49d9757bea58e60667,FALSE,FALSE,FALSE,2006413,-1.0,321,NA,NA,0,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2769546,NA,/companies/2769546-habitations-maxym-inc-les?searched_category_id=321&service_area=1782750,www.habitationsmaxym.com,habitations-maxym-inc-les,2008-03-04T16:55:15.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1832598,Habitations Maxym Inc (Les),0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,914d360e135d95e7aca61d84566d65eb3926ca5c,FALSE,FALSE,FALSE,1782750,0,321,NA,NA,NA,2015-06-07T21:45:48.000-04:00
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2884327,NA,/companies/2884327-daniel-e-borsuk-md-facs?searched_category_id=321&service_area=2084678,"Dr. Daniel E. Borsuk is board certified in Plastic Surgery by the Royal College of Physicians and Surgeons of Canada, and is a Fellow of the American College of Surgeons. Dr. Borsuk specializes in pediatric and adult cranio-maxillo-facial surgery, microsurgery, and aesthetic surgery. By combining the latest surgical techniques and a compassionate, professional demeanor, Dr. Borsuk ensures that each of his patients achieve their individual goals.",daniel-e-borsuk-md-facs,2016-02-22T01:19:28.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1946751,"Daniel E. Borsuk, Md, Facs",0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,17ba84b7861cf3f92b34a09f0f055003caf8799b,FALSE,FALSE,FALSE,2084678,-1.0,321,NA,NA,0,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2948473,https://podiatre-ahuntsic.ca/,/companies/2948473-podiatre-ahunsic?searched_category_id=321&service_area=2236379,"Email: info@podiatreahuntsic.com,
Website: https://podiatre-ahuntsic.ca/,
Address: 10302, Chambord street, suite 101,
City: Montreal,
Province: Quebec,
Post / Zip : H2C 2R5,
Country: Canada.
Phone: 438-387-7700,
The podiatrist treats all the foot problems at every level: dermatological (athlete’s foot, wart) and musculoskeletal (tendinitis, capsulitis, plantar fasciitis). A misalignment of the feet can cause knee injuries and back problems. The podiatrist can prescribe orthotics if needed, medications, can perform a cortisone injection and can use medical imaging such as X-rays, MRI (magnetic resonance imaging). His expertise can be applied to infants (starting at one month of age), toddlers, athletes, but also to workers standing a lot on their feet. Diabetic patients should consult their podiatrist at least every three (3) months to maintain healthy feet and prevent any ulcer or complications.",podiatre-ahunsic,2020-10-08T14:05:48.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2010610,Podiatre Ahunsic,0,0,2,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,3,FALSE,1d03004defb0d35cd33bb7c9b7d0158db8ce30c3,FALSE,FALSE,FALSE,2236379,0,321,NA,NA,0,2020-10-08T14:06:30.000-04:00
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2890468,NA,/companies/2890468-pro-fab-beloeil?searched_category_id=321&service_area=2104431,"Pro-Fab est chef de file dans la construction de maisons modulaires. Notre gamme de maisons usinées est vaste, le choix s'étend à plus de 150 modèles. Que vous recherchiez une résidence au style champêtre, traditionnel, moderne ou autre, vous trouverez celle qui vous convient. Il y en a d'ailleurs pour tous les budgets. ",pro-fab-beloeil,2016-09-21T08:28:56.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1952892,Pro Fab Beloeil,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,558264c2511a7a95d043f9204497e09069e39f25,FALSE,FALSE,FALSE,2104431,-1.0,321,NA,NA,0,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2870353,NA,/companies/2870353-09xyz-math-tutors-for-kids?searched_category_id=321&service_area=2032047,NA,09xyz-math-tutors-for-kids,2015-05-10T17:27:04.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1932777,09xyz Math Tutors For Kids,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,f4c1854759978ac1642da5109c4f9b895e0f0f9c,FALSE,FALSE,FALSE,2032047,-1.0,321,NA,NA,0,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2865862,NA,/companies/2865862-qualite-etudiants?searched_category_id=321&service_area=2014037,NA,qualite-etudiants,2015-02-05T19:48:00.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1928287,Qualité étudiants,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,c10d01d904b8a8545c8ee3e1108bbf8fbc1e8fcd,FALSE,FALSE,FALSE,2014037,-1.0,321,NA,NA,0,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2890882,NA,/companies/2890882-cre-actif?searched_category_id=321&service_area=2105758,"Cré-Actif Inc œuvre dans le domaine Patrick Asselin Construction de la construction et de la rénovation résidentielle et commerciale depuis 2001. Son fondateur Patrick Asselin est un constructeur né.
",cre-actif,2016-10-07T04:28:04.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1953306,Cre Actif,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,2db28b355483ccc483ea51c7ea4f54d34ba0c575,FALSE,FALSE,FALSE,2105758,-1.0,321,NA,NA,0,NA
https://homestars.com/on/saint%20lambert/builders,10,https://homestars.com/on/saint%20lambert/builders,Builders,2864302,NA,/companies/2864302-yul-condominium?searched_category_id=321&service_area=2007583,"YUL will be a glittering embodiment of the ultimate in luxury urban living in the heart of downtown Montreal. The development features two “shifted block” towers rising 38 storeys high, flanked to the south by townhouses on what is currently known as Overdale Square. The centrepiece will be an enormous enclosed common area exclusively for residents, containing a huge courtyard, a fitness area, an indoor pool, and an outdoor pool that converts into a skating rink during winter. YUL. Prestige. Pride of place. Privacy.",yul-condominium,2014-12-31T09:02:28.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1926728,Yul Condominium,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,FALSE,72df9c015e2fa1d8a3e927c911dcc458f021a0c0,FALSE,FALSE,FALSE,2007583,-1.0,321,NA,NA,0,NA
