Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,subdomain
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2909774,https://fordpainting.ca/,/companies/2909774-ford-painting?searched_category_id=409&service_area=2180039,"Feel the Ford Painting difference!

Ford Painting is a professional painting company servicing the Golden Horseshoe. We take pride in cleanliness and respect of our client's home. When quality and craftsmanship meet, you will be able to discover a new home within the same walls. It is amazing what a fresh coat of paint or a colour overhaul can mean. Check out our photos for recent work!

Contact Ford Painting via phone or send an email for a FREE, NO OBLIGATION QUOTE!

$2 Million in Liability Insurance",ford-painting,2018-02-14T19:36:59.000-05:00,NA,NA,NA,,,Benjamin Moore - Dulux - Sherwin Williams - Para - Behr - Valspar - Glidden - Farrow & Ball - Pratt & Lambert - PPG - Olympic - Minwax,Interior repainting - Exterior repainting - Residential - Commercial - New build painting - Cabinet refinishing - Drywall repair,2006,NA,,,,,TRUE,FALSE,Rates depend on job type and complexity. Contact Ford Painting for a free quote,No minimum,TRUE,FALSE,,1971959,Ford Painting,35,31,168,10,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2018-02-14T19:37:14.000-05:00,FALSE,0,0,263,0,FALSE,5e615f278e912743c59a508a522ccf5fee498f75,TRUE,2020-12-12T18:13:14.000-05:00,TRUE,TRUE,2180039,92.738945743,409,NA,NA,NA
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2962367,https://homestars.com/companies/2962367-biggs-general-contracting,/companies/2962367-biggs-general-contracting?searched_category_id=409&service_area=2287312,"Biggs General Contracting is based out of Hamilton and provides services for all surrounding areas. We are fully licensed and insured. With our professional-grade work, we can bring the dreams you have for your home, into the reality that you own.",biggs-general-contracting,2021-12-08T21:21:21.000-05:00,NA,NA,NA,,"Custom interior/exterior painting, Flooring installation (laminate, vinyl, tile), Trim installation, drywalling, basement and bathroom remodels, and contracting ","Sherwin Williams, Bhear, Benjamin Moor, Home Depot, Home Hardware, Rona, Lowes ",,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2024326,Biggs General Contracting,8,8,29,10,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,2021-12-08T21:22:36.000-05:00,FALSE,0,0,23,0,FALSE,e6aa963b6c300f5e81612ea35acf5447cbfcf818,TRUE,2022-01-26T10:04:54.000-05:00,TRUE,TRUE,2287312,90.9526680404,409,NA,NA,biggsgeneralcontracting
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2959779,,/companies/2959779-a-a-renovation-and-cleaning?searched_category_id=409&service_area=2261708,"We specialize in flooring, painting, and bathroom renovations because that is what we enjoy doing the most. We have worked on many homes whether it be to increase value for a sale or to remodel for personal use. We do not leave the jobsite until everything has been completed as asked and agreed upon and the jobsite cleaned up. Call or email for a quick quote",a-a-renovation-and-cleaning,2021-09-16T15:07:38.000-04:00,NA,NA,NA,,General Contracting Services,,"Flooring, Painting, and Bathroom Renovations",2016,2,,,,,TRUE,FALSE,,,TRUE,FALSE,,2021755,A & A Renovation and Cleaning,7,7,8,10,"Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2021-09-16T15:11:27.000-04:00,FALSE,0,0,9,0,FALSE,80c6b823cff106781b06f171679632e8bcd4be73,FALSE,NA,TRUE,TRUE,2261708,88.8803342989,409,NA,NA,
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2921057,https://www.kevlarcustomfinishing.com/,/companies/2921057-kevlar-custom-finishing-design-inc?searched_category_id=409&service_area=2272704,"Kevlar Custom Finishing & Design is a family oriented business. The Biggs Family has been doing business in Hamilton and the surrounding areas since 1950. Romello Biggs is the president and has been running the company since 2018.

Romello and his team are there every step of the way once a project is taken on. He has an impeccable team who are able to successfully complete a project of any capacity. Romello and his team ensure they deliver their services in the timeliest manner while honoring 100% client satisfaction",kevlar-custom-finishing-design-inc,2018-08-29T09:07:00.000-04:00,NA,NA,NA,,"-Interior/Exterior Painting
-Home Remodeling
-Interior Design
-Color Consultation
-General Contracting
-Project Management
-Bathroom Remodeling
Pre-Construction/Construction/Post construction expertise",,,2020,NA,"Cash, Cheques, E-Transfer",,Fully Licensed,,TRUE,TRUE,,,TRUE,FALSE,"Yes, please ask for more information! ",1983231,Kevlar Custom Finishing & Design Inc.,27,25,15,9.88,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,2018-08-29T09:09:52.000-04:00,FALSE,0,0,17,0,FALSE,3c8df891624c764d4802dcf9a7789294daed500d,TRUE,2022-09-26T22:51:45.000-04:00,TRUE,TRUE,2272704,96.3713486803,409,NA,NA,kevlarcustom
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2921795,https://coreinteriorpainting.com/,/companies/2921795-core-interior-painting?searched_category_id=409&service_area=2175980,"Core Interior Painting has been proudly painting and bringing homes, condos, and businesses back to life across the GTA. We understand the difference a coat of paint can make and how it can transform a room. Our commitment to high quality work paired with exceptional customer service is what truly makes us stand out. ",core-interior-painting,2018-09-18T08:12:57.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1983969,Core Interior Painting,3,3,0,10,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2018-09-18T08:13:43.000-04:00,FALSE,0,0,1,0,FALSE,9d979cec6f55cd676437267a3255a0c16e81b331,TRUE,NA,TRUE,FALSE,2175980,70.619994665,409,NA,NA,NA
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2849992,http://www.paintingbythewhitehouse.com,/companies/2849992-painting-by-the-whitehouse?searched_category_id=409&service_area=2146770,"Painting Southern Ontario since 1983.
Interior and Exterior Painting services
Residential and Commercial Painting
Faux Finishes, Wall Papering, Staining
PBTW is a family owned and operated business.  Scot White is President and second generation owner. Thank you for checking us out.
Incorporated January 2015.
We aim to build a painting business on the pillars of Integrity, Excellence and Professionalism",painting-by-the-whitehouse,2014-03-12T16:25:26.000-04:00,NA,"Hamilton, Burlington, Branford, Stoney Creek, Ancaster, Dundas, Waterdown ",8-8,,"Painting
Decorating
Wallpaper
Staining
Interior,  Exterior
Residential
Commercial","Sherwin Williams
Purdy",,1983,6,"Cash, Cheque, Credit Cards",Acrhitecural Coating Technologist from the Master Painters Institute,Ontario Business License,"Painting and Decorating Contractors of America (PDCA), Baeumler Approved Contractor",TRUE,FALSE,,500,TRUE,FALSE,LIFETIME WARRANTY on our Supreme Interior Packages,1912426,Painting By The Whitehouse,26,20,69,9,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",1,NA,FALSE,0,0,68,0,FALSE,563d065b106cab9da09b09f895f00c085035eed9,TRUE,2016-07-27T12:54:49.000-04:00,TRUE,FALSE,2146770,66.0934875498,409,NA,NA,pbtw1983
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2870948,NA,/companies/2870948-student-works-painting?searched_category_id=409&service_area=2034131,NA,student-works-painting,2015-05-24T22:32:36.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1933372,Student Works Painting,2,1,0,10,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2015-05-24T22:32:37.000-04:00,FALSE,0,0,0,0,FALSE,db71cae4fc4304d263b3283e32b66bf466f4199a,FALSE,2015-05-24T22:37:05.000-04:00,FALSE,FALSE,2034131,50.3834627533,409,NA,NA,NA
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2851002,NA,/companies/2851002-bcj-painting?searched_category_id=409&service_area=1962689,NA,bcj-painting,2014-03-26T17:15:18.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1913434,Bcj Painting,3,3,0,7,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2014-03-26T17:15:21.000-04:00,FALSE,0,0,0,0,FALSE,e2676d634a567e6927371d68fc2a9c01f1e7cf2a,FALSE,2016-03-03T18:52:38.000-05:00,FALSE,FALSE,1962689,33.9268956447,409,NA,NA,NA
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2940712,https://www.studentworks.com/,/companies/2940712-tadiwa-s-student-works-painting?searched_category_id=409&service_area=2218883,"Since 1981, Student Works Painting has been providing homeowners with quality exterior and interior house painting services across Eastern Canada. We carefully recruit and train highly motivated and hardworking University and College students who are committed to running a successful business and earning money to pay for their post-secondary education.

We are committed to our customers. With over 5000 houses painted successfully annually we have a proven track record of success. You can rely on us to provide a quality house painting service at a competitive price. All our work is backed by a 3 Year Guarantee!

We ensure that we take time to do the work right. Our crews provide the most thorough prep work to ensure that your paint job will last for years to come. Our number one goal is your satisfaction from start to finish.",tadiwa-s-student-works-painting,2020-02-20T21:03:18.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2002886,Tadiwa's Student Works Painting,0,0,0,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2020-02-20T21:18:24.000-05:00,FALSE,0,0,1,0,FALSE,63cfcdfff3d4ebb47e605bc4d7340840e05cea6b,FALSE,NA,TRUE,FALSE,2218883,-1.0,409,NA,NA,NA
https://homestars.com/on/brant-county/paint-wallpaper-contractors,62,"c(""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=2&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=3&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=4&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=5&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=6&"", ""https://homestars.com/on/brant-county/paint-wallpaper-contractors?&page=7&"")",Paint & Wallpaper Contractors,2938499,https://www.facebook.com/Beau-Tiful-Painting-355427721990392/?ref=page_internal,/companies/2938499-beau-tiful-painting?searched_category_id=409&service_area=2214200,"Just a family oriented business that works hard to make that renovation and repaint beautiful. We do more then paint, so if you need more then a paint we can help. You can reach us at 9057411793.

Additional Information
We charge $4.5 a square foot for builds and new additions. With that, it covers material and labour prices.",beau-tiful-painting,2020-01-02T16:00:16.000-05:00,NA,NA,NA,"Dulux lifemaster, diamon and the ultra/ expert series",,,Quick-efficient-gifted Painters,NA,NA,"Cash, Cheque and e-transfer",,,,TRUE,FALSE,,,TRUE,FALSE,Yes. Kindly ask for details. Depends on project completed. ,2000673,Beau-tiful Painting,0,0,2,NA,"Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2021-03-16T16:00:06.000-04:00,FALSE,0,0,2,0,FALSE,55f4df98ce051109a9dfbb2fe53af212958d96b8,FALSE,NA,TRUE,FALSE,2214200,-1.0,409,NA,NA,
