Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,latest_approved_review_created_at
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2805970,NA,/companies/2805970-lk-designs?searched_category_id=389&service_area=1873476,"LK Design specifies in marketing materials delivery. 
Do you need a logo, brochure, poster? LK Designs can help!
Do you need to define new marketing strategies? LK Design can show you how the right branding can bring you new customers.
Call today to discuss the needs of your business.
",lk-designs,2013-02-14T16:47:39.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868970,Lk Designs,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,bbd89fa60f0e29642671934d78eae1211b84117b,FALSE,FALSE,FALSE,1873476,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2581534,NA,/companies/2581534-david-boyes-home-concepts?searched_category_id=389&service_area=1594738,NA,david-boyes-home-concepts,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1644586,David Boyes Home Concepts,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,b997f50fdd7a712e307102a093f77e22f4cf33f5,FALSE,FALSE,FALSE,1594738,-1.0,389,NA,NA,2010-10-26T08:26:50.000-04:00,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2622969,NA,/companies/2622969-koenig-painting-decorating-ltd?searched_category_id=389&service_area=1636173,NA,koenig-painting-decorating-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1686021,Koenig Painting & Decorating Ltd,2,2,0,9,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1636173,26.2237542235,389,NA,NA,NA,2011-11-28T19:49:18.000-05:00
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2644845,NA,/companies/2644845-galerie-russe?searched_category_id=389&service_area=1658049,NA,galerie-russe,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1707897,Galerie Russe,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1658049,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2692886,NA,/companies/2692886-rodler-wood-gallery?searched_category_id=389&service_area=1706090,NA,rodler-wood-gallery,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1755938,Rodler-Wood Gallery,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1706090,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2663970,NA,/companies/2663970-gallery-double-t-theresa-cisecki?searched_category_id=389&service_area=1677174,NA,gallery-double-t-theresa-cisecki,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1727022,Gallery Double T Theresa Cisecki,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1677174,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2663974,NA,/companies/2663974-gardy-interiors-ltd?searched_category_id=389&service_area=1677178,NA,gardy-interiors-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1727026,Gardy Interiors Ltd,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1677178,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2675651,NA,/companies/2675651-leslee-squirrel-by-design?searched_category_id=389&service_area=1688855,NA,leslee-squirrel-by-design,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1738703,Leslee Squirrel By Design,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1688855,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,2571083,NA,/companies/2571083-eldon-gallery?searched_category_id=389&service_area=1584287,NA,eldon-gallery,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1634135,Eldon Gallery,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1584287,-1.0,389,NA,NA,NA,NA
https://homestars.com/on/kitchener-waterloo/interior-decorators,29,"c(""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=2&"", ""https://homestars.com/on/kitchener-waterloo/interior-decorators?&page=3&"")",Interior Decorators,212954,http://www.silkart.ca,/companies/212954-king-s-silk-embroidery-art?searched_category_id=389&service_area=1816066,Silk Embroidery & Pictures,king-s-silk-embroidery-art,2005-12-28T19:00:00.000-05:00,NA,,,,,,,0,0,,,,,FALSE,FALSE,,,FALSE,FALSE,,66645,King's Silk Embroidery Art,0,0,0,NA,"Interior Decorators, Home Decorators, Holiday Decorators, decorating, what is interior design, about interior design, house designs, interiors, designer interior, interior designer, house design, decorating ideas, interiordesign, designers interior, interior designers, la interior designers, decoration interior, interior decoration, room design, design a room, kitchen cabinets, interior decoration design, interior design decoration, interior design and decoration, interior decoration and design, decorating interior, what is interior decorating, about interior decorating, interior decorating, decorator, decorators, house decor, home furnishings, in home furnishings, decoration ideas, house decorating, home decorating, kitchen design, interior decorating design, interior design and decorating, interior decorating and design, home furnishings, interior home, home interior, home accessories, house interior, interior decorator, interior decorator in, and interior decorator, decorator interior, ,",0,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1816066,-1.0,389,NA,NA,NA,NA
