City,Category,Link,page_status,status_code,update_time
carbonear,Basement Renovation,https://homestars.com/on/carbonear/basement-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Bathroom Renovation,https://homestars.com/on/carbonear/bathroom-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Condominium Renovations,https://homestars.com/on/carbonear/condominium-renovations,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Decks,https://homestars.com/on/carbonear/patios-decks,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Demolition,https://homestars.com/on/carbonear/demolition,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,"Elevators, Lifts & Ramps Installation & Service",https://homestars.com/on/carbonear/elevators-lifts-ramps,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Historical Restoration,https://homestars.com/on/carbonear/historical-restoration,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Home Additions,https://homestars.com/on/carbonear/home-additions,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Home Inspection,https://homestars.com/on/carbonear/home-inspection,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Home Office Renovation,https://homestars.com/on/carbonear/home-office-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Kitchen Planning & Renovation,https://homestars.com/on/carbonear/kitchen-planning-renovation,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Renovation Cleaning,https://homestars.com/on/carbonear/renovation-cleaning,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Architects,https://homestars.com/on/carbonear/architects,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Builders,https://homestars.com/on/carbonear/builders,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
carbonear,Concrete Contractors,https://homestars.com/on/carbonear/concrete-contractors,"{""category"":""Client error"",""reason"":""Not Found"",""message"":""Client error: (404) Not Found""}",,2022-11-15T11:21:20Z
